id,commit_sha,paper_title,artifact_result_id,badge_set,evaluation_results_url,artifact_snapshot_url,artifact_appendix_url,artifact_ref_kind,artifact_ref,artifact_ref_url,resolved_commit_sha,resolved_commit_url,retrieved_at_utc,mapping_basis
dnn-decompiler,b4f64783846b85cac4b0eb6c7a5595535cc858d3,Decompiling x86 Deep Neural Network Executables,usenixsec2023-sec23summerae-final21,available+functional+results_reproduced,https://secartifacts.github.io/usenixsec2023/results,https://github.com/monkbai/DNN-decompiler/tree/b4f64783846b85cac4b0eb6c7a5595535cc858d3,https://secartifacts.github.io/usenixsec2023/appendix-files/sec23summerae-final21.pdf,commit,b4f64783846b85cac4b0eb6c7a5595535cc858d3,https://github.com/monkbai/DNN-decompiler/commit/b4f64783846b85cac4b0eb6c7a5595535cc858d3,b4f64783846b85cac4b0eb6c7a5595535cc858d3,https://github.com/monkbai/DNN-decompiler/commit/b4f64783846b85cac4b0eb6c7a5595535cc858d3,2026-07-13T22:06:30Z,Official results and appendix identify the evaluated commit
frl,4cf2550972e0e6299f61f682579f10b8e32c39d7,Every Vote Counts: Ranking-Based Training of Federated Learning to Resist Poisoning Attacks,usenixsec2023-sec23fallae-final17,available+functional+results_reproduced,https://secartifacts.github.io/usenixsec2023/results,https://github.com/SPIN-UMass/FRL/tree/4cf2550972e0e6299f61f682579f10b8e32c39d7,https://secartifacts.github.io/usenixsec2023/appendix-files/sec23fallae-final17.pdf,commit,4cf2550972e0e6299f61f682579f10b8e32c39d7,https://github.com/SPIN-UMass/FRL/commit/4cf2550972e0e6299f61f682579f10b8e32c39d7,4cf2550972e0e6299f61f682579f10b8e32c39d7,https://github.com/SPIN-UMass/FRL/commit/4cf2550972e0e6299f61f682579f10b8e32c39d7,2026-07-13T22:06:30Z,Official results and appendix identify the evaluated commit
meta-sift,6c18b085b127c33ca8829a6194635739ebe30c4a,"Meta-Sift: How to Sift Out a Clean Subset in the Presence of Data Poisoning?",usenixsec2023-sec23fallae-final40,available+functional+results_reproduced,https://secartifacts.github.io/usenixsec2023/results,https://github.com/reds-lab/Meta-Sift/releases/tag/artifact,https://secartifacts.github.io/usenixsec2023/appendix-files/sec23fallae-final40.pdf,release,artifact,https://github.com/reds-lab/Meta-Sift/releases/tag/artifact,6c18b085b127c33ca8829a6194635739ebe30c4a,https://github.com/reds-lab/Meta-Sift/commit/6c18b085b127c33ca8829a6194635739ebe30c4a,2026-07-13T22:06:30Z,Official artifact release and transferred repository history identify the pinned evaluated snapshot
modelguard,0eb60fc4912f432f036d1c49a0a09c6f5530a3a6,ModelGuard: Information-Theoretic Defense Against Model Extraction Attacks,usenixsec2024-sec24summerae-final3,available+functional+results_reproduced,https://secartifacts.github.io/usenixsec2024/results,https://github.com/Yoruko-Tang/ModelGuard/releases/tag/v1.0,https://secartifacts.github.io/usenixsec2024/appendix-files/sec24summerae-final3.pdf,release,v1.0,https://github.com/Yoruko-Tang/ModelGuard/releases/tag/v1.0,0eb60fc4912f432f036d1c49a0a09c6f5530a3a6,https://github.com/Yoruko-Tang/ModelGuard/commit/0eb60fc4912f432f036d1c49a0a09c6f5530a3a6,2026-07-13T22:06:30Z,Official appendix names the evaluated v1.0 release at the pinned commit
md-ml,1b0bdbd9a4ac23359e5718bbac88e1d572521e73,MD-ML: Super Fast Privacy-Preserving Machine Learning for Malicious Security with a Dishonest Majority,usenixsec2024-sec24winterae-final3,available+functional+results_reproduced,https://secartifacts.github.io/usenixsec2024/results,https://github.com/NemoYuan2008/MD-ML/releases/tag/v0.1,https://secartifacts.github.io/usenixsec2024/appendix-files/sec24winterae-final3.pdf,release,v0.1,https://github.com/NemoYuan2008/MD-ML/releases/tag/v0.1,1b0bdbd9a4ac23359e5718bbac88e1d572521e73,https://github.com/NemoYuan2008/MD-ML/commit/1b0bdbd9a4ac23359e5718bbac88e1d572521e73,2026-07-13T22:06:30Z,Official appendix names the evaluated v0.1 release at the pinned commit
